_uf;_label;_level;inform_1safra;qtde_1safra;area_ha_1safra;inform_2safra;qtde_2safra;area_ha_2safra;confianca
AL;SÃO JOSE DA LAJE;municipio;33.0;;;;;;alta
AL;UNIÃO DOS PALMARES;municipio;851.0;;16.0;;;;alta
AL;VIÇOSA;municipio;548.0;;231.0;;69.0;;alta
AL;LITORAL NORTE ALAGOANO;microrregiao;53.0;;27.0;;;;alta
AL;JAPARATINGA;municipio;;;;;;;alta
AL;MARAGOGI;municipio;34.0;;;;;;alta
AL;PASSO DE CAMARAGI BE;municipio;;;;;;;alta
AL;PORTO CALVO;municipio;12.0;;22.0;;;;alta
AL;PORTO DE PEDRAS;municipio;;;;;;;alta
AL;SÃO MIGUEL DOS MILAGRES;municipio;;;;;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;174.0;;;;;;alta
AL;BOCA DA MATA;municipio;32.0;;;;;;alta
AL;CAMPO ALEGRE;municipio;75.0;;;;;;alta
AL;CORURIPE;municipio;65.0;;;;;;alta
AL;MARECHAL DEODORO;municipio;;;18.0;;16.0;;alta
AL;RIO LARGO;municipio;2.0;;10.0;;;;alta
AL;SATUBA;municipio;;;;;;;alta
AL;TOTAIS;total;11061.0;32801.0;26675.0;1891.0;5125.0;;alta
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;11057.0;32798.0;26674.0;524.0;2526.0;;alta
AL;BATALHA;microrregiao;;;;;;;alta
AL;SANTANA DO IPANEMA;municipio;;;;;;;alta
AL;PALMEIRA DOS INOIOS;microrregiao;194.0;377.0;308.0;389.0;2256.0;;alta
AL;IGACI;municipio;193.0;376.0;308.0;;;;alta
AL;MARIBONDO;municipio;;;;;100.0;;alta
AL;MAR VERMELHO;municipio;;;;49.0;60.0;;alta
AL;PALMEIRA DOS INDIOS;municipio;;;;;109.0;;alta
AL;PAULO JACINTO;municipio;218.0;506.0;90.0;;;;alta
AL;QUEBRANGULO;municipio;;;;61.0;1418.0;;alta
AL;TANQUE O' ARCA;municipio;;;;38.0;49.0;;alta
AL;ARAPIRACA;microrregiao;10820.0;32315.0;26280.0;86.0;230.0;;alta
AL;ANADIA;municipio;;;;;;;alta
AL;ARAPIRACA;municipio;3445.0;10784.0;10140.0;11.0;24.0;;alta
AL;COITE DO NOIA;municipio;761.0;2645.0;1313.0;;;;alta
AL;CRAIBAS;municipio;909.0;2613.0;2244.0;;15.0;;alta
AL;FEIRA GRANDE;municipio;1716.0;4955.0;3386.0;;16.0;;alta
AL;GIRAU;municipio;1601.0;4332.0;3736.0;;;;alta
AL;JUNQUEIRO;municipio;312.0;668.0;585.0;17.0;48.0;;alta
AL;LAGOA DA CANOA;municipio;865.0;2794.0;1920.0;;;;alta
AL;LIMOEIRO DE ANADIA;municipio;658.0;1968.0;1581.0;15.0;49.0;;alta
AL;OLHO D' AGUA GRANDE;municipio;;;;;;;alta
AL;SÃO BRAS;municipio;;;;;16.0;;alta
AL;SÃO SEBASTIÃO;municipio;300.0;1072.0;881.0;;10.0;;alta
AL;TAQUARANA;municipio;236.0;455.0;463.0;;;;alta
AL;TRAIPU;municipio;;;11.0;;;;alta
AL;PENEDO;microrregiao;42.0;104.0;84.0;49.0;39.0;;alta
AL;IGREJA NOVA;municipio;;;;;;;alta
AL;PENEDO;municipio;;;;;;;alta
