_uf;_label;_level;estab_total;area_ha_total;estab_individual;area_ha_individual;estab_soc_condominio;area_ha_soc_condominio;confianca
RS;BOA VISTA;mesorregiao;18801.0;1418.0;17610.0;80.0;1079.0;;media
RS;CIMENTOS CIMENTOS CIMENTOS;municipio;;;;;;;media
RS;CAMPINA DAS MISSÕES;microrregiao;21012.0;1621.0;20797.0;13.0;124.0;;media
RS;CANDIDO GODO(;microrregiao;143.0;1715.0;22048.0;1690.0;10.0;102.0;media
RS;CERRO LARGO;microrregiao;34794.0;2305.0;32665.0;102.0;864.0;;media
RS;CRISSIUMAL;microrregiao;35011.0;3067.0;33999.0;56.0;831.0;;media
RS;GUARANI DAS MISSÕES;microrregiao;34233.0;867.0;32926.0;50.0;1159.0;;media
RS;HORIZONTINA;microrregiao;43496.0;727.0;41683.0;100.0;1583.0;;media
RS;HUMAITA;microrregiao;21861.0;1385.0;21701.0;6.0;74.0;;media
RS;INOEPENOENCIA;microrregiao;34806.0;1547.0;32672.0;29.0;1987.0;;media
RS;PORTO LUCENA;microrregiao;28681.0;2224.0;27907.0;37.0;315.0;;media
RS;PORTO XAVIER;microrregiao;23492.0;1894.0;22727.0;38.0;394.0;;media
RS;ROQUE GONZALES;microrregiao;32953.0;1675.0;32199.0;13.0;170.0;;media
RS;SANTA ROSA;microrregiao;43428.0;2451.0;41356.0;36.0;203.0;;media
RS;SANTO CRISTO;microrregiao;36555.0;2680.0;34547.0;106.0;1667.0;;media
RS;SÃO PAULO DAS MISSÕES;microrregiao;22365.0;1751.0;22043.0;17.0;202.0;;media
RS;TENENTE PORTELA;microrregiao;57833.0;4314.0;54526.0;57.0;688.0;;media
RS;TRES DE MAIO;microrregiao;64201.0;4251.0;61736.0;113.0;1943.0;;media
RS;TRES PASSOS;microrregiao;64274.0;507.0;62593.0;79.0;979.0;;media
RS;TUCUNDUVA;microrregiao;38294.0;517.0;36985.0;35.0;1209.0;;media
RS;TUPARENOI;microrregiao;37116.0;2342.0;35095.0;107.0;1852.0;;media
RS;COLONIAL DO IRAI;mesorregiao;645063.0;39886.0;588100.0;546.0;26187.0;;media
RS;ALPESTRE;microrregiao;29370.0;2815.0;28911.0;16.0;164.0;;media
RS;BRAGA;microrregiao;12657.0;891.0;11964.0;;443.0;;media
RS;CAIÇARA;microrregiao;16861.0;1015.0;16747.0;;71.0;;media
RS;CAMPO NOVO;microrregiao;27585.0;841.0;25071.0;11.0;1062.0;;media
RS;CONSTANTINA;microrregiao;35382.0;631.0;34954.0;13.0;140.0;;media
RS;ERVAL SECO;microrregiao;47121.0;2447.0;43647.0;13.0;936.0;;media
RS;FREDERICO WESTPHALEN;microrregiao;37315.0;2678.0;36134.0;55.0;871.0;;media
RS;IRAI;microrregiao;19453.0;1516.0;19095.0;11.0;167.0;;media
RS;LIBERA TO SALZANO;microrregiao;20102.0;1817.0;19759.0;14.0;166.0;;media
RS;MIRAGUAI;microrregiao;12367.0;1148.0;12310.0;9.0;43.0;;media
RS;NONOAI;microrregiao;92515.0;3803.0;74743.0;4.0;2722.0;;media
RS;PALMITINHO;microrregiao;22767.0;419.0;22661.0;;78.0;;media
RS;PLANALTO;microrregiao;24228.0;432.0;23144.0;22.0;433.0;;media
