_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
BA;MUCUGE;mesorregiao;1074.0;;1714.0;990.0;4919.0;188.0;;baixa
BA;OLIVEIRA DOS BREJINHOS;mesorregiao;3115.0;;198.0;2889.0;9722.0;871.0;;baixa
BA;PALMEIRAS;mesorregiao;556.0;;983.0;400.0;1126.0;118.0;;baixa
BA;PARAM( RIM;mesorregiao;3901.0;;57.0;3513.0;11976.0;155.0;;baixa
BA;PIATÂ;mesorregiao;3645.0;;2728.0;2924.0;4620.0;335.0;;baixa
BA;RIO DE CONTAS;mesorregiao;1750.0;;671.0;1577.0;7018.0;285.0;;baixa
BA;RIO DO PIRES;mesorregiao;1813.0;;122.0;1750.0;4250.0;130.0;;baixa
BA;SEABRA;mesorregiao;3304.0;;2960.0;2722.0;5726.0;505.0;;baixa
BA;TANHAÇU;mesorregiao;1639.0;;706.0;1586.0;11704.0;369.0;;baixa
BA;WAGNER;mesorregiao;222.0;;318.0;189.0;2229.0;23.0;;baixa
BA;SERRA GERAL DA BAHIA;mesorregiao;61771.0;;4352.0;60065.0;314254.0;17236.0;;baixa
BA;ARACATU;mesorregiao;2308.0;;165.0;2277.0;11158.0;709.0;;baixa
BA;BRUMADO;mesorregiao;3343.0;;318.0;3185.0;16644.0;786.0;;baixa
BA;CACULE;mesorregiao;1715.0;;499.0;1635.0;8369.0;408.0;;baixa
BA;CAETITE;mesorregiao;6145.0;183993.0;1098.0;1145.0;5990.0;1910.0;;baixa
BA;CANDIBA;mesorregiao;2134.0;;27.0;2057.0;9610.0;254.0;;baixa
BA;CONDEUBA;mesorregiao;3101.0;;111.0;3062.0;16113.0;11488.0;;baixa
BA;CORDEIROS;mesorregiao;979.0;;85.0;965.0;4765.0;188.0;;baixa
BA;DOM BASILIO;mesorregiao;1533.0;;134.0;1394.0;4971.0;245.0;;baixa
BA;GUANAMBI;mesorregiao;4354.0;;203.0;4229.0;198814.0;735.0;;baixa
BA;IBIASSUCE;mesorregiao;1433.0;;116.0;1391.0;7440.0;340.0;;baixa
BA;IGAPORÂ;mesorregiao;1239.0;;115.0;1142.0;968.0;354.0;;baixa
BA;JACARACI;mesorregiao;2511.0;;357.0;2447.0;646.0;626.0;;baixa
BA;LICINIO DE ALMEIDA;mesorregiao;1459.0;;102.0;1391.0;5595.0;204.0;;baixa
BA;LIVRAMENTO DO BRUMADO;mesorregiao;3201.0;;239.0;3084.0;15882.0;573.0;;baixa
