_uf;_label;_level;inform_bens;valor_bens_mil_cr;inform_investimentos;valor_investimentos_mil_cr;inform_financiamentos;valor_financiamentos_mil_cr;confianca
BA;SEABRA;municipio;211469.0;;1384.0;3249.0;38.0;;baixa
BA;TANHAÇU;municipio;164602.0;;414.0;2505.0;237.0;;baixa
BA;UTINGA;municipio;322054.0;;216.0;9879.0;103.0;;baixa
BA;WAGNER;municipio;85928.0;;140.0;3042.0;26.0;;baixa
BA;SERRA GERAL DA BAHIA;microrregiao;5029908.0;;26568.0;126288.0;9806.0;;baixa
BA;ARACATU;municipio;143693.0;;1217.0;4171.0;175.0;;baixa
BA;BRUMADO;municipio;238244.0;;1456.0;5818.0;464.0;;baixa
BA;CACULE;municipio;118425.0;;744.0;2846.0;264.0;;baixa
BA;CAETITE;municipio;413243.0;;3853.0;14269.0;729.0;;baixa
BA;CANDIBA;municipio;120098.0;;657.0;31171.0;422.0;;baixa
BA;CONOEUBA;municipio;203745.0;;689.0;7154.0;523.0;;baixa
BA;CORDEIROS;municipio;44388.0;;562.0;2054.0;103.0;;baixa
BA;DOM BASILIO;municipio;115881.0;;252.0;940.0;154.0;;baixa
BA;GUANAMBI;municipio;400808.0;;1399.0;6762.0;671.0;;baixa
BA;IBIASSUCE;municipio;116322.0;;756.0;2896.0;507.0;;baixa
BA;IGAPORÃ;municipio;183113.0;;731.0;10776.0;324.0;;baixa
BA;.JACARAC I;municipio;200643.0;;1207.0;6045.0;224.0;;baixa
BA;LICINIO DE ALMEIDA;municipio;131750.0;;573.0;6691.0;170.0;;baixa
BA;LIVRAMENTO DO BRUMADO;municipio;260714.0;;1437.0;5180.0;948.0;;baixa
BA;MALHADA DE PEDRAS;municipio;64139.0;;582.0;1175.0;37.0;;baixa
BA;MORTUGABA;municipio;119155.0;;758.0;974.0;158.0;;baixa
BA;PALMAS DE MONTE ALTO;municipio;54771.0;821.0;11251.0;663.0;10479.0;;baixa
BA;PINOAI;municipio;121883.0;;1143.0;3927.0;634.0;;baixa
BA;PIRIPA;municipio;57166.0;;621.0;1090.0;12.0;;baixa
BA;PRESIDENTE JANIO QUADROS;municipio;88197.0;;1145.0;2011.0;291.0;;baixa
BA;RIACHO OE SANTANA;municipio;521290.0;;1746.0;8037.0;1179.0;;baixa
BA;RIO DO ANTONIO;municipio;76013.0;;708.0;2041.0;378.0;;baixa
BA;SEBASTIÃO LARAN JEIRAS;municipio;304133.0;;305.0;7167.0;165.0;;baixa
BA;TREMEDAL;municipio;268755.0;;1488.0;4859.0;216.0;;baixa
BA;URANDI;municipio;170388.0;;112.0;671.0;395.0;;baixa
BA;SENHOR DO BONFIM;mesorregiao;1774310.0;;7344.0;39676.0;2097.0;11263.0;baixa
BA;ANTONIO GONÇALVES;microrregiao;131864.0;;415.0;2789.0;15.0;648.0;baixa
BA;CALDEIRÃO GRANDE;microrregiao;217096.0;;1031.0;7069.0;161.0;980.0;baixa
BA;CAMPO FORMOSO;microrregiao;395330.0;;2255.0;9237.0;988.0;3890.0;baixa
BA;JAGUARARI;microrregiao;126899.0;;806.0;1777.0;55.0;174.0;baixa
BA;MI RANGABA;microrregiao;176578.0;;457.0;2935.0;337.0;1691.0;baixa
BA;PINDOBAÇU;microrregiao;247755.0;;338.0;4056.0;365.0;2272.0;baixa
BA;SALICE;microrregiao;133456.0;;485.0;2930.0;48.0;541.0;baixa
BA;SENHOR;microrregiao;345330.0;;1557.0;6878.0;128.0;1083.0;baixa
BA;CORREDEIRAS;mesorregiao;1352871.0;;3900.0;54823.0;762.0;62726.0;baixa
BA;ABARE;microrregiao;79010.0;;87.0;1416.0;;457.0;baixa
BA;CHORROCHO;microrregiao;57215.0;;233.0;484.0;;22.0;baixa
BA;CURAÇA;microrregiao;217877.0;;940.0;2661.0;73.0;1211.0;baixa
BA;JUAZEIRO;microrregiao;860603.0;;1456.0;46242.0;618.0;60754.0;baixa
BA;MACURURE;microrregiao;67512.0;;1088.0;1666.0;;;baixa
BA;RODELAS;microrregiao;70651.0;;96.0;351.0;54.0;276.0;baixa
