_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AP;MACAPA;microrregiao;277.0;21.0;269.0;123.0;88.0;43.0;17.0;78.0;alta
AP;MACAPA;municipio;248.0;20.0;241.0;115.0;78.0;39.0;14.0;69.0;alta
AP;MAZAGÃO;municipio;29.0;;28.0;;10.0;;;;alta
AP;AMAPA E OIAPOQUE;microrregiao;38.0;;38.0;11.0;2.0;;;17.0;alta
AP;AMAPA;municipio;19.0;;19.0;;;;;;alta
AP;CALÇOENE;municipio;;;;;;;;;alta
AP;OIAPOQUE;municipio;10.0;;10.0;;2.0;;;;alta
ES;TOTAIS;total;18639.0;3089.0;17530.0;4228.0;4111.0;8090.0;5322.0;9471.0;media
ES;ESPIRITO-SANTENSE;mesorregiao;3044.0;17167.0;4143.0;7921.0;5260.0;9285.0;;;media
ES;ALTO SÃO MATEUS;microrregiao;257.0;1204.0;327.0;330.0;452.0;296.0;778.0;;media
ES;ECOPORANGA;municipio;648.0;41.0;626.0;96.0;149.0;235.0;184.0;451.0;media
ES;MONTANHA;municipio;335.0;124.0;283.0;123.0;89.0;128.0;62.0;136.0;media
ES;MUCURICI;municipio;303.0;92.0;295.0;108.0;92.0;89.0;50.0;191.0;media
ES;COLATINA;microrregiao;4700.0;4403.0;1269.0;1024.0;2511.0;1225.0;2162.0;;media
ES;BAIXO GUANDU;municipio;399.0;41.0;106.0;94.0;176.0;86.0;;;media
ES;BARRA DE SÃO FRANCISCO;municipio;948.0;74.0;920.0;320.0;223.0;564.0;262.0;295.0;media
ES;BOA ESPERANÇA;municipio;164.0;45.0;137.0;41.0;27.0;79.0;46.0;72.0;media
ES;COLATINA;municipio;540.0;106.0;450.0;127.0;95.0;93.0;271.0;;media
ES;MANTENOPOLIS;municipio;209.0;36.0;194.0;58.0;146.0;33.0;44.0;;media
ES;MARILANDIA;municipio;16.0;;11.0;;;;;;media
ES;NOVA VENECIA;municipio;1103.0;166.0;1060.0;256.0;203.0;420.0;710.0;;media
ES;PANCAS;municipio;432.0;22.0;425.0;139.0;140.0;302.0;154.0;165.0;media
ES;SÃO GABRIEL DA PALHA;municipio;213.0;221.0;211.0;536.0;270.0;320.0;;;media
