_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
BA;ITAETE;municipio;1223.0;109.0;17.0;101.0;29.0;75.0;13.0;media
BA;ITUAÇU;municipio;2092.0;964.0;908.0;148.0;776.0;126.0;121.0;media
BA;JUSSIAPE;municipio;1361.0;314.0;314.0;38.0;269.0;46.0;33.0;media
BA;LENÇO IS;municipio;307.0;20.0;10.0;15.0;16.0;;2.0;media
BA;MACAUBAS, s;municipio;5538.0;3705.0;3645.0;344.0;;320.0;381.0;media
BA;MUCUGE;municipio;1074.0;320.0;279.0;58.0;125.0;78.0;138.0;media
BA;OLIVEIRA DOS BREJINHOS;municipio;3115.0;1668.0;1642.0;324.0;849.0;389.0;;media
BA;PALMEIRAS;municipio;556.0;18.0;;15.0;14.0;11.0;;media
BA;PARAMIRIM;municipio;3901.0;2742.0;2695.0;362.0;1637.0;402.0;778.0;media
BA;PIATÂ;municipio;3645.0;230.0;168.0;74.0;139.0;64.0;45.0;media
BA;RIO DE CONTAS;municipio;1750.0;1011.0;1005.0;39.0;740.0;34.0;249.0;media
BA;RIO DO PIRES;municipio;1813.0;1203.0;1197.0;39.0;642.0;39.0;597.0;media
BA;SEABRA;municipio;3304.0;281.0;170.0;154.0;118.0;143.0;36.0;media
BA;TANHAÇU;municipio;1639.0;540.0;521.0;69.0;465.0;64.0;69.0;media
BA;UTINGA;municipio;1130.0;175.0;25.0;164.0;55.0;121.0;39.0;media
BA;WAGNER;municipio;222.0;10.0;;;;;;media
BA;SERRA GERAL DA BAHIA;microrregiao;61771.0;33354.0;3283.0;5910.0;25799.0;5935.0;6415.0;media
BA;ARACATU;municipio;2308.0;611.0;594.0;39.0;521.0;38.0;74.0;media
BA;BRUMADO;municipio;3343.0;1983.0;11965.0;130.0;1744.0;128.0;214.0;media
BA;CACULE;municipio;1715.0;953.0;938.0;86.0;761.0;102.0;127.0;media
BA;CAETITE;municipio;6145.0;2454.0;2410.0;250.0;2014.0;248.0;384.0;media
BA;CANDIBA;municipio;2134.0;1908.0;1879.0;1021.0;1393.0;974.0;373.0;media
BA;CONDEUBA;municipio;3101.0;1768.0;1760.0;122.0;1313.0;214.0;309.0;media
BA;CORDEIROS;municipio;979.0;656.0;650.0;20.0;385.0;50.0;244.0;media
BA;DOM BASILIO;municipio;1533.0;883.0;874.0;51.0;548.0;118.0;272.0;media
BA;GUANAMBI;municipio;4354.0;3465.0;3340.0;564.0;2730.0;534.0;615.0;media
BA;IBIASSUCE;municipio;1433.0;855.0;848.0;21.0;707.0;46.0;139.0;media
BA;IGAPORÃ;municipio;1239.0;502.0;423.0;241.0;380.0;223.0;80.0;media
BA;JACARACI;municipio;2511.0;1346.0;1316.0;144.0;930.0;135.0;356.0;media
BA;LICINIO DE ALMEIDA;municipio;1459.0;1044.0;1034.0;86.0;685.0;88.0;413.0;media
BA;LIVRAMENTO;municipio;3201.0;2829.0;2739.0;512.0;947.0;521.0;597.0;media
BA;MALHADA DE PEDRAS;municipio;1477.0;897.0;895.0;;819.0;;92.0;media
BA;MORTUGABA;municipio;1393.0;786.0;775.0;56.0;548.0;68.0;252.0;media
BA;PALMAS OE MONTE ALTO;municipio;2118.0;1636.0;1451.0;635.0;1331.0;534.0;236.0;media
BA;PINOAI;municipio;3139.0;2397.0;2388.0;447.0;1917.0;442.0;497.0;media
BA;PIRIPA;municipio;1078.0;251.0;248.0;10.0;203.0;12.0;38.0;media
BA;PRESIDENTE JAN I O QUADROS;municipio;2531.0;640.0;638.0;;590.0;;153.0;media
BA;RIACHO OE SANTANA;municipio;5708.0;2177.0;1854.0;703.0;1589.0;717.0;425.0;media
BA;RIO DO ANTONIO;municipio;1834.0;945.0;938.0;35.0;791.0;60.0;122.0;media
BA;SEBASTIÃO LARANJEIRAS;municipio;828.0;584.0;456.0;384.0;403.0;348.0;54.0;media
BA;TREMEOAL;municipio;4256.0;267.0;259.0;17.0;250.0;10.0;28.0;media
BA;ANTONIO GONÇALVES;municipio;414.0;124.0;66.0;59.0;71.0;53.0;;media
BA;CALDEIRÃO GRANDE;municipio;2327.0;750.0;564.0;230.0;579.0;104.0;;media
BA;CAMPO FORMOSO;municipio;8496.0;610.0;71.0;79.0;484.0;132.0;;media
BA;JAGUARARI;municipio;2732.0;59.0;43.0;27.0;31.0;26.0;;media
BA;MIRANGABA;municipio;3124.0;403.0;128.0;355.0;15.0;377.0;19.0;media
BA;PINDOBAÇU;municipio;4223.0;1744.0;555.0;1464.0;265.0;1467.0;;media
