_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
BA;JUSSIAPE;municipio;;;88.0;;;baixa
BA;MACAUBAS;municipio;;;780.0;;71.0;baixa
BA;MUCUGE;municipio;;;968.0;;455.0;baixa
BA;OLIVEIRA DOS BREJINHOS;municipio;75.0;493.0;860.0;1857.0;109.0;baixa
BA;PALMEIRAS;municipio;;;133.0;;20.0;baixa
BA;PARAMIRIM;municipio;;;1911.0;;165.0;baixa
BA;PIATÂ;municipio;;;1163.0;;568.0;baixa
BA;RIO DE CONTAS;municipio;79.0;66.0;148.0;148.0;38.0;baixa
BA;ao RIO DO PIRES;microrregiao;58.0;156.0;154.0;21.0;17.0;baixa
BA;TANHAÇU;municipio;;;2077.0;;926.0;baixa
BA;UTINGA;municipio;;;360.0;;962.0;baixa
BA;WAGNER;municipio;;;269.0;;103.0;baixa
BA;SERRA GERAL DA BAHIA;municipio;8031.0;31043.0;30290.0;9620.0;9177.0;baixa
BA;ARACATU;municipio;;;179.0;;60.0;baixa
BA;BRUMADO;municipio;;;252.0;;276.0;baixa
BA;CACULE;municipio;;;1498.0;;164.0;baixa
BA;CAETITE;municipio;;;3526.0;;911.0;baixa
BA;CANDIBA;municipio;;;394.0;;183.0;baixa
BA;CONDEUBA;municipio;;;559.0;;124.0;baixa
BA;CORDEIROS;municipio;;;508.0;;175.0;baixa
BA;DOM BASILIO;municipio;;;90.0;;44.0;baixa
BA;GUANAMBI;municipio;;;1574.0;;385.0;baixa
BA;IBIASSUCE;municipio;;;1881.0;;86.0;baixa
BA;IGAPORÂ;municipio;;;981.0;;423.0;baixa
BA;JACARACI;municipio;;;924.0;;242.0;baixa
BA;LICINIO OE ALMEIDA;municipio;98.0;296.0;919.0;918.0;104.0;baixa
BA;LIVRAMENTO DO BRUMADD;municipio;99.0;532.0;1295.0;1287.0;541.0;baixa
BA;MALHADA OE PEDRAS;municipio;100.0;42.0;231.0;231.0;53.0;baixa
BA;MORTUGABA;municipio;;;390.0;;45.0;baixa
BA;PALMAS DE MONTE ALTO;municipio;102.0;294.0;2323.0;2265.0;1466.0;baixa
BA;PINDAI;municipio;;;1482.0;;613.0;baixa
BA;PIRIPA;municipio;;;438.0;;64.0;baixa
BA;PRESIDENTE JANIO QUADROS;municipio;105.0;427.0;1317.0;1311.0;410.0;baixa
BA;ANTONIO GONÇALVES;microrregiao;;3038.0;;;678.0;baixa
BA;CALDEIRÃO GRANDE;microrregiao;;5543.0;;;4468.0;baixa
BA;CAMPO FORMOSO;microrregiao;;19392.0;;;12513.0;baixa
BA;JAGUARAR I;microrregiao;;5377.0;;;3372.0;baixa
BA;MIRANGABA;microrregiao;;6454.0;;;4404.0;baixa
BA;PINOOBAÇU;microrregiao;;7457.0;;;4909.0;baixa
BA;SAUOE;microrregiao;;2055.0;;;956.0;baixa
BA;SENHOR;microrregiao;0.0;17094.0;10409.0;8333.0;6685.0;baixa
BA;CORREDEIRAS DO SÃÔ FRANCISCO;mesorregiao;56383.0;33155.0;25068.0;23228.0;16677.0;baixa
BA;ABARE;microrregiao;;3408.0;;;3155.0;baixa
BA;CHORROCHO;microrregiao;;3292.0;;;3195.0;baixa
BA;CURAÇA;microrregiao;;7638.0;;;5808.0;baixa
BA;JUAZEIRO;microrregiao;;14757.0;;;7484.0;baixa
BA;MACURURE;microrregiao;;2820.0;;;2774.0;baixa
BA;RODELAS;microrregiao;;240.0;;;812.0;baixa
BA;LESTE BAIANO;mesorregiao;;832566.0;;;562490.0;baixa
