_uf;_label;_level;estab_total;num_pessoas_total;estab_menos_5;num_pessoas_menos_5;estab_5_a_10;num_pessoas_5_a_10;confianca
BA;BARRA DA ESTIVA;municipio;724.0;1105.0;2626.0;454.0;2887.0;;baixa
BA;BONINAL;municipio;1621.0;5251.0;1227.0;;2782.0;369.0;baixa
BA;BOQUIRA;municipio;3068.0;13100.0;4472.0;1045.0;6743.0;;baixa
BA;BOTUPORÃ;municipio;4756.0;14649.0;3818.0;;8638.0;882.0;baixa
BA;BROTAS DE MACAUBAS;municipio;2639.0;1974.0;4680.0;637.0;3768.0;;baixa
BA;CONTENDAS;municipio;662.0;3059.0;395.0;;957.0;212.0;baixa
BA;(BICOARA;municipio;1057.0;5035.0;752.0;;1618.0;206.0;baixa
BA;IBITIARA;municipio;4840.0;15420.0;3846.0;;8722.0;908.0;baixa
BA;IPUPIARA;municipio;1141.0;3194.0;934.0;;1908.0;197.0;baixa
BA;IRAMAIA;municipio;1130.0;6002.0;693.0;;1603.0;304.0;baixa
BA;IRAQUARA;municipio;2651.0;10856.0;1768.0;;4189.0;733.0;baixa
BA;ITAETE;municipio;1223.0;4780.0;900.0;;2041.0;247.0;baixa
BA;ITUAÇU;municipio;2092.0;9559.0;1326.0;;3150.0;594.0;baixa
BA;JUSSIAPE;municipio;1361.0;4461.0;1041.0;;2442.0;300.0;baixa
BA;LENÇO IS;municipio;307.0;1610.0;222.0;;515.0;66.0;baixa
BA;MACAUBAS;municipio;5538.0;17390.0;4403.0;;10101.0;1075.0;baixa
BA;MUCUGE;mesorregiao;74.0;5022.0;704.0;;1658.0;283.0;baixa
BA;OLIVEIRA DOS BREJINHOS;municipio;3115.0;11702.0;2262.0;;5456.0;726.0;baixa
BA;PALMEIRAS;municipio;556.0;2013.0;399.0;;862.0;132.0;baixa
BA;PARAMIRIM;municipio;3901.0;15762.0;2618.0;;6366.0;1100.0;baixa
BA;PIATÃ;municipio;3645.0;13443.0;2640.0;;6155.0;861.0;baixa
BA;RIO DE CONTAS;municipio;1750.0;5364.0;1415.0;;3126.0;304.0;baixa
BA;RIO DO PIRES;municipio;1813.0;5599.0;1484.0;;3412.0;298.0;baixa
BA;SEABRA;municipio;3304.0;10866.0;2645.0;;6342.0;590.0;baixa
BA;TANHAÇU;municipio;1639.0;10985.0;679.0;;863.0;651.0;baixa
BA;UTINGA;municipio;1130.0;498.0;1230.0;468.0;3066.0;;baixa
BA;WAGNER;mesorregiao;222.0;1612.0;88.0;;261.0;85.0;baixa
BA;SERRA GERAL DA BAHIA;microrregiao;61771.0;26995.0;39981.0;;96685.0;17828.0;baixa
BA;ARACATU;municipio;2308.0;8500.0;1595.0;;3691.0;641.0;baixa
BA;BRUMADO;municipio;3343.0;12648.0;2397.0;;5591.0;802.0;baixa
BA;CACULE;municipio;1715.0;7385.0;1146.0;2747.0;2929.0;;baixa
BA;CAETITE;municipio;6145.0;25693.0;4099.0;;10207.0;1707.0;baixa
BA;CANDIBA;municipio;2134.0;7183.0;1615.0;;3294.0;449.0;baixa
BA;CONOEUBA;municipio;3101.0;12632.0;2040.0;;5265.0;933.0;baixa
BA;CORDEIROS;municipio;979.0;4604.0;581.0;;582.0;350.0;baixa
BA;DOM BASILIO;municipio;1533.0;4788.0;1201.0;;2386.0;288.0;baixa
BA;GUANAMBI;mesorregiao;4354.0;16918.0;3033.0;;6979.0;113.0;baixa
BA;IBIASSUCE;municipio;1433.0;7150.0;870.0;;2208.0;423.0;baixa
BA;IGAPORÃ;municipio;1239.0;7405.0;600.0;;1519.0;440.0;baixa
BA;JACARACI;municipio;511.0;10155.0;685.0;;;;baixa
BA;LICINIO DE ALMEIDA;municipio;459.0;5471.0;1041.0;;2507.0;361.0;baixa
BA;LIVRAMENTO DO BRUMAOO;municipio;3201.0;13062.0;2076.0;;4654.0;958.0;baixa
BA;MALHADA DE PEDRAS;municipio;1477.0;4.0;1135.0;;536.0;299.0;baixa
BA;MORTUGABA;municipio;1393.0;4315.0;1130.0;;2451.0;231.0;baixa
BA;PALMAS DE MONTE ALTO;municipio;2118.0;11880.0;1310.0;;3208.0;624.0;baixa
BA;PINDAI;municipio;3139.0;15200.0;1809.0;;3937.0;1015.0;baixa
BA;PIRIPA;mesorregiao;1078.0;4398.0;708.0;;1947.0;342.0;baixa
BA;PRESIDENTE JANIO QUADROS;municipio;2531.0;12414.0;436.0;;4029.0;896.0;baixa
BA;RIACHO DE SANTANA;municipio;5708.0;28589.0;3460.0;;432.0;1656.0;baixa
BA;RIO DO ANTONIO;municipio;1834.0;8822.0;1043.0;;657.0;645.0;baixa
BA;SEBASTIÃO LARANJEIRAS;municipio;828.0;4867.0;367.0;;924.0;345.0;baixa
BA;TREMEDAL;municipio;4256.0;19981.0;2420.0;;6772.0;1566.0;baixa
