_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
BA;SÃO DESIDERIO;microrregiao;634.0;739580.0;;35.0;153.0;564.0;1333.0;11397.0;media
BA;T ABOCAS DO BREJO VELHO;microrregiao;2146.0;69410.0;;;;;34.0;118.0;media
BA;CHAPADÔES DO RIO CORRENTE;microrregiao;15997.0;1733967.0;;1215.0;372.0;1940.0;2516.0;35741.0;media
BA;CANAPOL IS;microrregiao;1274.0;36953.0;;27.0;;46.0;253.0;868.0;media
BA;cocos;microrregiao;1370.0;306351.0;;300.0;;307.0;592.0;13032.0;media
BA;CORIBE;microrregiao;1894.0;268941.0;;50.0;62.0;441.0;262.0;5528.0;media
BA;CORRENTINA;microrregiao;3610.0;595756.0;;44.0;;128.0;332.0;9181.0;media
BA;SANTA MARIA DA VITORIA;microrregiao;2623.0;200313.0;;125.0;107.0;731.0;635.0;4238.0;media
BA;SANTANA;microrregiao;2442.0;169193.0;;596.0;190.0;286.0;345.0;1446.0;media
BA;SERRA DOURADA;microrregiao;2784.0;156457.0;;72.0;;;97.0;446.0;media
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;31276.0;1979746.0;;3825.0;191.0;569.0;7414.0;39815.0;media
BA;BARRA;microrregiao;4588.0;551085.0;;2452.0;36.0;90.0;2895.0;17227.0;media
BA;CAMPO ALEGRE DE LO URDES;microrregiao;3323.0;461268.0;;;;;336.0;3198.0;media
BA;CASA NOVA;microrregiao;6583.0;89508.0;;1144.0;13.0;83.0;157.0;932.0;media
BA;IBOTIRAMA;microrregiao;840.0;133138.0;;30.0;;;680.0;2174.0;media
BA;MOR PARA;microrregiao;964.0;74664.0;;;;;18.0;173.0;media
BA;PILÃO ARCADO;microrregiao;5197.0;52730.0;;10.0;;;276.0;902.0;media
BA;REMANSO;microrregiao;3384.0;137048.0;;;41.0;42.0;534.0;5236.0;media
BA;SEt-IJO SE;microrregiao;4482.0;88452.0;;73.0;68.0;171.0;453.0;1965.0;media
BA;XIQUE-XlQUE;microrregiao;1915.0;391849.0;;110.0;31.0;180.0;2065.0;8005.0;media
BA;MEDI O SÃO FRANCISCO;microrregiao;12149.0;1289959.0;;7324.0;129.0;1105.0;4645.0;41588.0;media
BA;BOM JESUS DA LAPA;microrregiao;;;;;;;;;media
BA;CAR I NHANHA;microrregiao;1981.0;243867.0;;;;;522.0;13368.0;media
BA;MALHADA;microrregiao;1742.0;;;;;;;;media
BA;PARATINGA;microrregiao;2547.0;95060.0;;50.0;16.0;72.0;773.0;5420.0;media
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;25499.0;1159396.0;;2146.0;1453.0;8531.0;5206.0;28262.0;media
BA;BARRA DO MENDES;microrregiao;1773.0;157312.0;;;11.0;103.0;117.0;491.0;media
BA;CAFARNAUM;microrregiao;2095.0;43183.0;;241.0;51.0;182.0;194.0;725.0;media
BA;CANARANA;microrregiao;3230.0;75727.0;;81.0;128.0;515.0;418.0;1632.0;media
